Code,Package Type,包裝種類,包装种类,,,,,,,,,,,,,,,,
44,"Bag, polybag",塑料袋,塑料袋,,,,,,,,,,,,,,,,
7B,"Case, wooden",木箱,木箱,,,,,,,,,,,,,,,,
8A,"Pallet, wooden",木製托盤,木制托盘,,,,,,,,,,,,,,,,
8B,"Crate, wooden",木製板條箱,木制板条箱,,,,,,,,,,,,,,,,
AE,Aerosol,煙霧,烟雾,,,,,,,,,,,,,,,,
AM,"Ampoule, non-protected","小管,不受保護的","小管,不受保护的",,,,,,,,,,,,,,,,
AP,"Ampoule, protected","小管,受保護的","小管,受保护的",,,,,,,,,,,,,,,,
AT,Atomizer,噴霧器,喷雾器,,,,,,,,,,,,,,,,
BA,Barrel,大琵琶桶,大琵琶桶,,,,,,,,,,,,,,,,
BB,Bobbin,線軸,线轴,,,,,,,,,,,,,,,,
BC,Bottlecrate / bottlerack,瓶架,瓶架,,,,,,,,,,,,,,,,
BD,Board,板,板,,,,,,,,,,,,,,,,
BE,Bundle,捆,捆,,,,,,,,,,,,,,,,
BF,"Balloon, non-protected","氣球,不受保護的","气球,不受保护的",,,,,,,,,,,,,,,,
BG,Bag,袋,袋,,,,,,,,,,,,,,,,
BH,Bunch,束,束,,,,,,,,,,,,,,,,
BI,Bin,箱櫃,箱柜,,,,,,,,,,,,,,,,
BJ,Bucket,水桶,水桶,,,,,,,,,,,,,,,,
BK,Basket,籃,篮,,,,,,,,,,,,,,,,
BL,"Bale, compressed","包,被壓縮的","包,被压缩的",,,,,,,,,,,,,,,,
BN,"Bale, non-compressed","包,不被壓縮的","包,不被压缩的",,,,,,,,,,,,,,,,
BO,"Bottle, non-protected, cylindrical","圓柱形瓶,不受保護的","圆柱形瓶,不受保护的",,,,,,,,,,,,,,,,
BP,"Balloon, protected","氣球,受保護的","气球,受保护的",,,,,,,,,,,,,,,,
BQ,"Bottle, protected cylindrical","圓柱形瓶,受保護的","圆柱形瓶,受保护的",,,,,,,,,,,,,,,,
BR,Bar,棒,棒,,,,,,,,,,,,,,,,
BS,"Bottle, non-protected, bulbous","球形瓶,不受保護的","球形瓶,不受保护的",,,,,,,,,,,,,,,,
BT,Bolt,捲,卷,,,,,,,,,,,,,,,,
BU,Butt,大酒桶,大酒桶,,,,,,,,,,,,,,,,
BV,"Bottle, protected bulbous","球形瓶,受保護的","球形瓶,受保护的",,,,,,,,,,,,,,,,
BX,Box,盒,盒,,,,,,,,,,,,,,,,
BY,"Board, in bundle/bunch/truss","木板,束","木板,束",,,,,,,,,,,,,,,,
BZ,"Bars, in bundle/bunch/truss","棒,束","棒,束",,,,,,,,,,,,,,,,
CA,"Can, rectangular",方罐,方罐,,,,,,,,,,,,,,,,
CB,"Crate, beer",啤酒板,啤酒板,,,,,,,,,,,,,,,,
CC,Churn,大罐,大罐,,,,,,,,,,,,,,,,
CE,Creel,簍,篓,,,,,,,,,,,,,,,,
CF,Coffer,潛水箱,潜水箱,,,,,,,,,,,,,,,,
CG,Cage,籠,笼,,,,,,,,,,,,,,,,
CH,Chest,大箱,大箱,,,,,,,,,,,,,,,,
CI,Canister,小罐,小罐,,,,,,,,,,,,,,,,
CJ,Coffin,靈柩,灵柩,,,,,,,,,,,,,,,,
CK,Cask,桶,桶,,,,,,,,,,,,,,,,
CL,Coil,卷,卷,,,,,,,,,,,,,,,,
CN,Container,貨櫃箱,货柜箱,,,,,,,,,,,,,,,,
CO,"Carboy, non-protected","罎,不受保護的","罎,不受保护的",,,,,,,,,,,,,,,,
CP,"Carboy, protected","罎,受保護的","罎,受保护的",,,,,,,,,,,,,,,,
CR,Crate,板條箱,板条箱,,,,,,,,,,,,,,,,
CS,Case,箱,箱,,,,,,,,,,,,,,,,
CT,Carton,紙板箱,纸板箱,,,,,,,,,,,,,,,,
CU,Cup,杯,杯,,,,,,,,,,,,,,,,
CV,Cover,蓋,盖,,,,,,,,,,,,,,,,
CX,"Can, cylindrical",圓柱形罐,圆柱形罐,,,,,,,,,,,,,,,,
CY,Cylinder,圓筒形容器,圆筒形容器,,,,,,,,,,,,,,,,
CZ,Canvas,帆布,帆布,,,,,,,,,,,,,,,,
DJ,"Demijohn, non-protected","細頸大罎,不受保護的","细颈大罎,不受保护的",,,,,,,,,,,,,,,,
DP,"Demijohn, protected","細頸大罎,受保護的","细颈大罎,受保护的",,,,,,,,,,,,,,,,
DR,Drum,圓桶,圆桶,,,,,,,,,,,,,,,,
EN,Envelope,封套,封套,,,,,,,,,,,,,,,,
FB,Flexibag,彈性袋,弹性袋,,,,,,,,,,,,,,,,
FC,"Crate, fruit",水果板條箱,水果板条箱,,,,,,,,,,,,,,,,
FD,"Crate, framed",加外框的板條箱,加外框的板条箱,,,,,,,,,,,,,,,,
FE,Flexitank,膠櫃,胶柜,,,,,,,,,,,,,,,,
FI,Firkin,木製小桶,木制小桶,,,,,,,,,,,,,,,,
FL,Flask,細頸瓶,细颈瓶,,,,,,,,,,,,,,,,
FO,Footlocker,小型提箱,小型提箱,,,,,,,,,,,,,,,,
FP,Filmpack,軟片包裝,胶卷包装,,,,,,,,,,,,,,,,
FR,Frame,框架,框架,,,,,,,,,,,,,,,,
GB,"Bottle, gas",氣體瓶,气体瓶,,,,,,,,,,,,,,,,
GI,Girder,樑,梁,,,,,,,,,,,,,,,,
GL,"Container, gallon",容器，一加侖容量,容器，一加仑容量,,,,,,,,,,,,,,,,
GY,"Bag, gunny",黃麻布袋,黄麻布袋,,,,,,,,,,,,,,,,
GZ,"Girders, in bundle/bunch/truss","樑,束","梁,束",,,,,,,,,,,,,,,,
HG,Hogshead,大桶,大桶,,,,,,,,,,,,,,,,
HR,Hamper,食籃,食篮,,,,,,,,,,,,,,,,
IN,Ingot,錠,锭,,,,,,,,,,,,,,,,
IZ,"Ingots, in bundle/bunch/truss","錠,束","锭,束",,,,,,,,,,,,,,,,
JB,"Bag, jumbo",特大袋,特大袋,,,,,,,,,,,,,,,,
JC,"Jerrican, rectangular",方形罐,方形罐,,,,,,,,,,,,,,,,
JG,Jug,水壺,水壶,,,,,,,,,,,,,,,,
JR,Jar,廣口瓶,广口瓶,,,,,,,,,,,,,,,,
JT,Jutebag,黃麻包袋,黄麻包袋,,,,,,,,,,,,,,,,
JY,"Jerrican, cylindrical",圓形罐,圆形罐,,,,,,,,,,,,,,,,
KG,Keg,小桶,小桶,,,,,,,,,,,,,,,,
